,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
8159,브금,일반음식점,기타,제주특별자치도 제주시 애월읍 애월리 2009-1,"제주특별자치도 제주시 애월읍 애월로 59-1, 에이동 1층",33.4641644,126.3137591
8160,청춘다방,일반음식점,기타,제주특별자치도 제주시 연동 311-17,"제주특별자치도 제주시 귀아랑길 27, 1층 (연동)",33.4911626,126.4975429
8161,일만족발제주점,일반음식점,기타,제주특별자치도 제주시 도남동 84,제주특별자치도 제주시 신성로 80 (도남동),33.4955204,126.5279798
8162,일품순두부교래점,일반음식점,한식,제주특별자치도 제주시 조천읍 교래리 551,"제주특별자치도 제주시 조천읍 비자림로 687-1, 1층",33.4364015,126.6797341
8163,아이리스카페앤비어,일반음식점,기타,제주특별자치도 제주시 한림읍 한수리 912-1,"제주특별자치도 제주시 한림읍 한수1길 33, 1층",33.4220046,126.2621740
8164,피자탑조천읍점,일반음식점,기타,제주특별자치도 제주시 조천읍 신촌리 2175,"제주특별자치도 제주시 조천읍 신촌북2길 12-4, 1층",33.5359774,126.6199109
8165,다크블루올모스트블랙,일반음식점,한식,제주특별자치도 제주시 조천읍 조천리 2229-15,"제주특별자치도 제주시 조천읍 신북로 220, 1층",33.5356136,126.6364406
8166,정자네,일반음식점,한식,제주특별자치도 제주시 한림읍 한림리 1207,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층 제2호",33.4135435,126.2643670
8167,서바다한우정육식당,일반음식점,한식,제주특별자치도 제주시 오라이동 3295-5,"제주특별자치도 제주시 아연로 114, 1층 (오라이동)",33.4732817,126.5037155
8168,뉴욕버거제주연동점,일반음식점,기타,제주특별자치도 제주시 연동 261-21,"제주특별자치도 제주시 삼무로 26, 1층 (연동)",33.4896957,126.4892658
8169,선물고팡함덕점,일반음식점,감성주점,제주특별자치도 제주시 조천읍 함덕리 1020-2,"제주특별자치도 제주시 조천읍 신북로 491-9, 1층 101호",33.5438202,126.6631093
8170,다담찌개,일반음식점,한식,제주특별자치도 제주시 연동 2325-1,"제주특별자치도 제주시 성신로1길 30, 1층 (연동)",33.4920095,126.4884855
8171,옥상닭빛,일반음식점,호프/통닭,제주특별자치도 제주시 조천읍 함덕리 960-8,"제주특별자치도 제주시 조천읍 함덕19길 7, 3층",33.5411220,126.6701685
8172,갤러리청귤,일반음식점,기타,제주특별자치도 제주시 이도이동 370-10,"제주특별자치도 제주시 청귤로3길 6, 1층 (이도이동)",33.5002491,126.5384367
8173,바다사무소,일반음식점,한식,제주특별자치도 제주시 구좌읍 평대리 2024-2,"제주특별자치도 제주시 구좌읍 해맞이해안로 1202, 1동",33.5332404,126.8425057
8174,전복마을,일반음식점,일식,제주특별자치도 제주시 도두일동 1742 제주아모렉스가족호텔,"제주특별자치도 제주시 서해안로 216, 제주아모렉스가족호텔 (도두일동)",33.5074695,126.4702872
8175,플로티에가든,일반음식점,경양식,제주특별자치도 제주시 구좌읍 월정리 33-12,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, 2층 201호",33.5547246,126.7988706
8176,통돌이돈통가,일반음식점,한식,제주특별자치도 제주시 외도일동 645-6,"제주특별자치도 제주시 우령2길 52, 1층 (외도일동)",33.4845546,126.4313416
8177,제주별찌,일반음식점,기타,제주특별자치도 제주시 한림읍 귀덕리 3887,"제주특별자치도 제주시 한림읍 한림해안로 542, 1층",33.4373327,126.2751736
8178,랜돌프비어제주연동점,일반음식점,기타,제주특별자치도 제주시 연동 273-2,"제주특별자치도 제주시 연동7길 24, 1층 (연동)",33.4877525,126.4905375
8179,고기역,일반음식점,식육(숯불구이),제주특별자치도 제주시 연동 1484,"제주특별자치도 제주시 국기로1길 4, 1층 (연동)",33.4806665,126.4902612
8180,하루이수다,일반음식점,기타,제주특별자치도 제주시 구좌읍 세화리 1248-3,"제주특별자치도 제주시 구좌읍 세화남1길 3, 1층",33.5191393,126.8559815
8181,굽네치킨한라초점,일반음식점,호프/통닭,제주특별자치도 제주시 연동 1527-11,"제주특별자치도 제주시 연화로3길 3-1, 1층 (연동)",33.4771390,126.4879602
8182,삼무로가맥집,일반음식점,한식,제주특별자치도 제주시 연동 292-1,"제주특별자치도 제주시 삼무로 64, 1층 (연동)",33.4895847,126.4934956
8183,첀씬마라탕,일반음식점,중국식,제주특별자치도 제주시 연동 1482,"제주특별자치도 제주시 국기로1길 2, 1층 (연동)",33.4806967,126.4900031
8184,해피치즈스마일제주시점,일반음식점,분식,제주특별자치도 제주시 이도이동 1187-9,"제주특별자치도 제주시 신성로 114, 1층 (이도이동)",33.4973704,126.5309026
8185,서유기마라탕하귀점,일반음식점,중국식,제주특별자치도 제주시 애월읍 하귀1리 200-14 느루,"제주특별자치도 제주시 애월읍 하광로 49, 느루 1층",33.4820831,126.4143023
8186,나는강정같은치킨입니다화북삼화점,일반음식점,호프/통닭,제주특별자치도 제주시 화북일동 1984-7,"제주특별자치도 제주시 진남로6길 3, 1층 (화북일동)",33.5192186,126.5655482
8187,카페이음새,일반음식점,한식,제주특별자치도 제주시 연동 291-24,"제주특별자치도 제주시 삼무로11길 34, 2층 (연동)",33.4905406,126.4956949
8188,럭키유,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정리 505,"제주특별자치도 제주시 구좌읍 월정5길 56, 1층",33.5551452,126.7949762
8189,다솜,일반음식점,기타,제주특별자치도 제주시 삼도이동 222-3,"제주특별자치도 제주시 중앙로 120, 2층 (삼도이동)",33.5078782,126.5240612
8190,마레보비치호텔,일반음식점,한식,제주특별자치도 제주시 애월읍 곽지리 1565-18,"제주특별자치도 제주시 애월읍 곽지1길 23, 1층",33.4482261,126.3040621
8191,대왕가마솥치킨노형점,일반음식점,한식,제주특별자치도 제주시 노형동 935-17,"제주특별자치도 제주시 원노형6길 31-1, 1층 101호 (노형동)",33.4832162,126.4830065
